time_s,value
0.0,114.7
1.0,109.2
2.0,109.7
3.1,109.5
4.1,108.9
5.1,111.3
6.1,110.2
7.1,110.5
8.2,109.5
9.2,109.4
10.2,107.0
11.2,109.0
12.2,113.4
13.3,108.9
14.3,109.5
15.3,110.7
16.3,110.2
17.3,108.4
18.3,110.0
19.4,107.3
20.4,109.5
21.4,109.2
22.4,110.2
23.4,110.5
24.5,110.4
25.5,110.2
26.5,108.4
27.5,107.4
28.5,110.0
29.6,109.2
30.6,110.5
31.6,110.5
32.6,109.5
33.6,108.6
34.6,112.0
35.7,110.0
36.7,111.5
37.7,110.0
38.7,109.5
39.7,109.0
40.7,110.2
41.8,114.2
42.8,108.6
43.8,110.2
44.8,110.7
45.8,108.8
46.9,111.3
47.9,107.4
48.9,110.5
49.9,109.5
50.9,113.4
52.0,112.6
53.0,109.2
54.0,110.4
55.0,110.0
56.1,110.0
57.1,112.3
58.1,110.2
59.1,110.7
60.1,110.7
61.2,108.4
62.2,111.2
63.2,110.7
64.2,107.4
65.3,110.4
66.3,109.4
67.3,113.7
68.3,110.2
69.3,110.2
70.3,110.8
71.4,107.4
72.4,108.9
73.4,111.3
74.4,110.0
75.4,109.4
76.4,109.5
77.5,111.0
78.5,112.4
79.5,107.9
80.5,109.2
81.5,109.9
82.6,109.7
83.6,109.7
84.6,110.0
85.6,109.0
86.6,105.5
87.7,110.2
88.7,110.8
89.7,110.7
90.7,108.8
91.7,110.7
92.7,108.3
93.8,111.5
94.8,113.4
95.8,109.7
96.8,109.9
97.8,109.9
98.8,111.8
99.9,109.7
100.9,110.0
101.9,110.5
102.9,110.0
103.9,108.6
105.0,109.5
106.0,107.3
107.1,110.2
108.1,110.0
109.1,112.3
110.2,109.7
111.2,110.0
112.2,109.2
113.2,111.8
114.2,112.6
115.3,109.7
116.3,109.5
117.3,109.5
118.3,109.2
119.4,115.2
120.4,109.5
121.4,109.4
122.4,109.5
123.5,109.4
124.5,108.8
125.5,108.3
126.6,109.4
127.6,109.5
128.6,111.8
129.6,109.7
130.7,109.4
131.7,110.8
132.7,110.2
133.7,110.0
134.8,110.0
135.8,110.8
136.8,113.4
137.9,111.3
138.9,110.7
139.9,111.8
141.0,108.6
142.0,106.1
143.0,111.7
144.0,110.8
145.1,113.6
146.1,116.0
147.1,107.0
148.2,110.8
149.2,109.4
150.2,109.5
151.3,111.5
152.3,109.9
153.4,110.7
154.4,108.6
155.4,109.5
156.5,111.0
157.5,108.8
158.5,112.0
159.5,107.9
160.6,106.1
161.6,107.1
162.6,109.9
163.7,110.7
164.7,110.8
165.7,111.0
166.8,110.7
167.8,112.1
168.8,108.9
169.9,109.4
170.9,107.9
171.9,108.8
173.0,113.4
174.0,108.9
175.0,108.9
176.0,109.5
177.1,112.3
178.1,112.4
179.1,109.4
180.2,111.5
181.2,105.8
182.2,109.7
183.2,112.1
184.3,108.9
185.3,106.8
186.3,106.8
187.4,107.3
188.4,113.4
189.4,112.1
190.4,109.4
191.5,110.2
192.5,109.7
193.5,110.5
194.6,111.2
195.6,112.8
196.6,110.5
197.7,108.3
198.7,110.2
199.7,110.7
200.8,111.3
201.8,109.5
202.8,110.5
203.8,106.8
204.9,110.2
205.9,112.4
206.9,108.1
208.0,110.0
209.0,109.5
210.0,111.0
211.0,115.5
212.1,114.9
213.1,109.7
214.1,109.7
215.2,110.7
216.2,109.4
217.2,111.8
218.3,110.8
219.3,109.4
220.3,108.9
221.3,107.3
222.4,111.5
223.4,108.6
224.4,109.5
225.5,108.8
226.5,107.9
227.5,115.5
228.6,110.0
229.6,110.8
230.6,109.2
231.7,108.6
232.7,111.7
233.7,110.5
234.7,110.2
235.8,109.5
236.8,109.7
237.8,111.5
238.9,110.0
239.9,111.5
240.9,108.4
242.0,109.0
243.0,111.8
244.0,109.5
245.0,109.4
246.1,106.6
247.1,110.5
248.1,111.8
249.2,109.4
250.2,110.5
251.2,110.0
252.2,109.2
253.3,111.3
254.3,112.6
255.3,108.6
256.4,109.7
257.4,108.6
258.4,109.4
259.4,112.1
260.5,111.7
261.5,110.2
262.5,110.2
263.6,109.2
264.6,109.7
265.6,110.5
266.7,110.0
267.7,108.8
268.7,107.0
269.8,110.2
270.8,111.2
271.8,110.2
272.8,108.8
273.9,109.5
274.9,109.4
275.9,111.2
277.0,110.8
278.0,110.0
279.0,110.7
280.0,109.5
281.1,112.0
282.1,109.4
283.2,110.7
284.2,109.5
285.2,110.2
286.2,112.1
287.3,109.2
288.3,106.1
289.4,109.5
290.4,110.7
291.4,113.4
292.4,108.4
293.5,109.4
294.5,111.7
295.5,107.9
296.6,112.1
297.6,106.6
298.6,108.1
299.6,108.8
300.7,111.0
301.7,112.6
302.7,109.4
