time_s,value
0.0,1.0163
1.0,1.0606
2.0,1.0367
3.1,1.0451
4.1,1.0388
5.2,1.0401
6.2,1.0293
7.2,1.0361
8.2,1.0471
9.3,1.082
10.3,1.0552
11.3,1.0488
12.3,1.0337
13.4,1.0454
14.4,1.0548
15.4,1.0441
16.5,1.0592
17.5,1.0606
18.5,1.0545
19.6,1.0633
20.6,1.0347
21.6,1.0388
22.6,1.0381
23.7,1.0394
24.7,1.0401
25.7,1.0508
26.8,1.0448
27.8,1.0337
28.8,1.0344
29.9,1.0599
30.9,1.0602
31.9,1.0078
33.0,1.0582
34.0,1.0548
35.0,1.0484
36.0,1.0653
37.1,1.0414
38.1,1.0484
39.1,1.0334
40.1,1.0146
41.2,1.0421
42.2,1.0159
43.3,1.0471
44.3,1.0552
45.3,1.0525
46.4,1.0454
47.4,1.0521
48.4,1.0592
49.4,1.0548
50.5,1.0824
51.5,1.0481
52.5,1.0545
53.6,1.0266
54.6,1.027
55.6,1.0552
56.7,1.0662
57.7,1.0559
58.7,1.0484
59.8,1.0491
60.8,1.0579
61.8,1.0401
62.8,1.0599
63.9,1.032
64.9,1.0122
65.9,1.0552
67.0,1.0434
68.0,1.0364
69.0,1.0626
70.0,1.0508
71.1,1.0377
72.1,1.0491
73.1,1.0606
74.2,1.0498
75.2,1.0538
76.2,1.0606
77.2,1.0656
78.3,1.0441
79.3,1.0545
80.3,1.0575
81.4,1.0501
82.4,1.0572
83.4,1.0384
84.5,1.0548
85.5,1.0606
86.5,1.0411
87.6,1.0636
88.6,1.0552
89.6,1.0401
90.7,1.0552
91.7,1.0361
92.7,1.0451
93.8,1.0276
94.8,1.0548
95.9,1.0431
96.9,1.0659
97.9,1.0545
98.9,1.0381
100.0,1.0381
101.0,1.0552
102.0,1.0337
103.0,1.0606
104.1,1.0283
105.1,1.0521
106.1,1.0491
107.2,1.0337
108.2,1.0552
109.2,1.0528
110.3,1.0599
111.3,1.0484
112.3,1.0552
113.4,1.0622
114.4,1.0606
115.5,1.0669
116.5,1.0381
117.5,1.0437
118.6,1.0216
119.6,1.0428
120.6,1.0629
121.7,1.0381
122.7,1.0297
123.7,1.0371
124.7,1.0448
125.8,1.0636
126.8,1.0437
127.8,1.0283
128.8,1.0253
129.9,1.0495
130.9,1.0448
131.9,1.0344
132.9,1.0371
134.0,1.0606
135.0,1.0649
136.0,1.0297
137.0,1.0548
138.1,1.0364
139.1,1.0552
140.1,1.0606
141.1,1.0639
142.2,1.0444
143.2,1.0334
144.2,1.0495
145.2,1.0454
146.3,1.0669
147.3,1.028
148.3,1.0626
149.4,1.0374
150.4,1.0824
151.4,1.0495
152.4,1.0726
153.5,1.0521
154.5,1.0582
155.5,1.0552
156.5,1.0525
157.6,1.0606
158.6,1.0804
159.6,1.082
160.7,1.0538
161.7,1.0394
162.7,1.0401
163.7,1.0606
164.8,1.0599
165.8,1.0941
166.8,1.0508
167.8,1.0565
168.8,1.0606
169.9,1.0471
170.9,1.0589
171.9,1.0401
173.0,1.033
174.0,1.0495
175.0,1.0626
176.0,1.0488
177.1,1.0468
178.1,1.0283
179.1,1.0401
180.2,1.0552
181.2,1.0246
182.2,1.0508
183.3,1.0428
184.3,1.0582
185.3,1.0629
186.4,1.0586
187.4,1.0484
188.4,1.0388
189.4,1.03
190.5,1.0481
191.5,1.0481
192.5,1.0498
193.6,1.0337
194.6,1.0441
195.6,1.0334
196.7,1.0166
197.7,1.0696
198.7,1.0824
199.8,1.0481
200.8,1.0498
201.8,1.0535
202.9,1.0589
203.9,1.0481
204.9,1.0401
205.9,1.0471
206.9,1.0401
208.0,1.033
209.0,1.0552
210.0,1.0404
211.0,1.0555
212.1,1.0344
213.1,1.0451
214.1,1.033
215.2,1.0582
216.2,1.0602
217.2,1.0334
218.2,1.0491
219.3,1.0388
220.3,1.0283
221.3,1.0579
222.3,1.0606
223.4,1.0669
224.4,1.0364
225.5,1.0172
226.5,1.0508
227.5,1.0388
228.6,1.0511
229.6,1.0176
230.6,1.0283
231.7,1.0592
232.7,1.0297
233.8,1.0646
234.8,1.0592
235.8,1.0297
236.8,1.0468
237.9,1.0495
238.9,1.0414
239.9,1.0633
241.0,1.0767
242.0,1.0582
243.0,1.0297
244.1,1.0633
245.1,1.0565
246.1,1.0344
247.2,1.082
248.2,1.0767
249.2,1.0555
250.3,1.0666
251.3,1.0606
252.3,1.0552
253.4,1.0283
254.4,1.0337
255.4,1.0713
256.5,1.0297
257.5,1.0606
258.5,1.0431
259.5,1.0297
260.6,1.0606
261.6,1.0532
262.6,1.0538
263.7,1.0495
264.7,1.0411
265.7,1.0226
266.8,1.0508
267.8,1.0636
268.8,1.0313
269.9,1.0344
270.9,1.0579
271.9,1.0448
273.0,1.0602
274.0,1.0431
275.0,1.0606
276.1,1.0354
277.1,1.0579
278.2,1.0307
279.2,1.0592
280.2,1.0468
281.2,1.0334
282.3,1.0498
283.3,1.0538
284.3,1.0226
285.4,1.0538
286.4,1.0377
287.4,1.0397
288.4,1.0414
289.5,1.0511
290.5,1.0394
291.5,1.0411
292.6,1.0297
293.6,1.0495
294.6,1.0653
295.7,1.0525
296.7,1.0212
297.7,1.0626
298.7,1.0622
